ts_code,name,momentum,current_price,rsi,pullback,volatility
002240.SZ,盛新锂能,0.4899484536082477,57.81,64.60080204156034,-0.08427055282749882,0.11951479681540321
601778.SH,晶科科技,0.4897959183673468,7.3,58.556149732620305,-0.0736040609137056,0.10759035675947816
002361.SZ,神剑股份,0.459016393442623,22.25,62.810625535561265,-0.07098121085594987,0.10932724742987733
603777.SH,来伊份,0.45333333333333337,18.53,64.90727532097004,-0.04188210961737325,0.06521712918112135
688525.SH,佰维存储,0.4519823383313404,315.69,59.08090777645061,-0.024142194744976822,0.07598444491532294
603890.SH,春秋电子,0.448202959830867,20.55,63.430420711974136,-0.021428571428571394,0.07913065249162562
920171.BJ,志晟信息,0.44731977818853963,23.49,63.67432150313151,-0.0806262230919766,0.04633805769675599
603315.SH,福鞍股份,0.4451173353520059,19.09,60.5832549388523,-0.026020408163265386,0.08187700116334215
300870.SZ,欧陆通,0.44468409505038853,388.49,58.780991735537185,-0.08564771229523627,0.08637555100191914
600338.SH,西藏珠峰,0.44205495818399054,24.14,61.365059486537255,-0.1463932107496464,0.1390987669566648
301489.SZ,思泉新材,0.4392149624707766,233.93,64.55827937095283,-0.07093212597799749,0.07237767989503761
300097.SZ,智云股份,0.43893129770992356,11.31,60.04962779156328,-0.09156626506024088,0.10744795308010019
301265.SZ,华新科技,0.43596445373758486,27.47,61.53846153846153,-0.08402800933644547,0.07148862453779914
300322.SZ,硕贝德,0.4328485885372113,33.5,59.39597315436242,-0.030110017371163846,0.06186197602042963
301358.SZ,湖南裕能,0.4241239501882419,98.35,62.259570494864604,-0.10590909090909097,0.11694316004166772
002824.SZ,和胜股份,0.42152917505030185,28.26,47.90660225442834,-0.11215834118755881,0.06274300959232376
603906.SH,龙蟠科技,0.41314553990610325,30.1,62.7718765806778,-0.12804171494785635,0.1407551612016843
603052.SH,可川科技,0.4007756948933421,86.68,61.404975956512665,-0.11551020408163258,0.10647327601031997
300900.SZ,广联航空,0.40051238257899224,49.2,62.534327187132206,-0.053846153846153794,0.08647132898581342
605303.SH,园林股份,0.3999999999999999,25.62,62.735849056603776,-0.054612546125461264,0.08070864364780202
300058.SZ,蓝色光标,0.39293598233995586,18.93,58.58987090367428,-0.0850652489125182,0.05802298420086235
300657.SZ,弘信电子,0.38878907653611217,38.65,62.518409425625904,-0.07202881152460984,0.0802868927043826
300767.SZ,震安科技,0.38711453744493407,25.19,63.053613053613056,-0.05796559461480917,0.07379901305883135
301517.SZ,陕西华达,0.38473224458792266,72.92,57.15402658326816,-0.03672391017173053,0.054582094725501275
603933.SH,睿能科技,0.38303341902313615,26.9,59.0027700831025,-0.018964259664478594,0.06433934301507126
301317.SZ,鑫磊股份,0.38027282266526763,65.77,57.02513391017717,-0.052032285961372146,0.05166401624969163
688150.SH,莱特光电,0.3786141575274178,55.31,63.242745278673425,-0.0392565572346708,0.06018258759127024
300684.SZ,中石科技,0.37776373973468114,65.43,59.371965037228875,-0.0007635919364691074,0.061660358038888974
300857.SZ,协创数据,0.37354876160990713,283.94,36.2315425699026,-0.11819875776397516,0.11221732688812652
002962.SZ,五方光电,0.373412994772218,18.39,63.34913112164296,-0.04218749999999993,0.04365255796073361
600815.SH,厦工股份,0.3732193732193734,4.82,64.85355648535565,-0.056751467710371824,0.08052147985039176
600539.SH,狮头股份,0.372591006423983,19.23,63.83177570093458,-0.10140186915887843,0.0963405905344239
688418.SH,震有科技,0.37109974424552417,53.61,61.7520531873289,-0.01974766867800326,0.08087667088919909
300051.SZ,琏升科技,0.3683333333333334,16.42,52.09003215434085,-0.1256656017039403,0.09609973435573428
002418.SZ,康盛股份,0.3677419354838709,6.36,57.55693581780538,-0.10674157303370783,0.06734332572591502
002497.SZ,雅化集团,0.3656108597285066,30.18,63.2007233273056,-0.05687500000000001,0.07383947508753522
688337.SH,普源精电,0.35930640913081646,61.93,57.70881479035986,-0.1147798742138364,0.0678279275221022
603158.SH,腾龙股份,0.3544973544973544,15.36,64.71371504660452,-0.06909090909090912,0.06477305330553088
688163.SH,赛伦生物,0.3535318559556788,39.09,63.26742976066599,-0.08023529411764697,0.09198650866758008
603757.SH,大元泵业,0.3505361930294908,60.45,57.91271347248577,-0.011932003922850553,0.05401378511095154
603985.SH,恒润股份,0.35031538088306635,27.83,63.97621070518266,-0.0597972972972974,0.1049561618748433
301205.SZ,联特科技,0.34371836171191905,291.99,58.55412566237698,-0.0353178274084842,0.06471446253506122
300243.SZ,瑞丰高材,0.3432835820895521,18.0,59.59147424511546,-0.11330049261083747,0.09486902251419511
001287.SZ,中电港,0.34059233449477344,30.78,64.86486486486487,-0.0035610229847847013,0.04614289840251346
000960.SZ,锡业股份,0.33775906735751304,41.31,64.41837732160315,-0.025247758376592738,0.07246372576698301
001896.SZ,豫能控股,0.3373110580747811,16.81,48.93071000855432,-0.10822281167108767,0.0889014192631779
688282.SH,理工导航,0.3370604876734473,99.25,60.117842018044556,-0.032651072124756285,0.08191098360741177
603306.SH,华懋科技,0.3357018199950137,107.15,53.359683794466406,-0.02996559840666294,0.04687983954500555
600345.SH,长江通信,0.3338702254947077,57.97,63.55066771406126,-0.035601397438030286,0.04735652381016527
688168.SH,安博通,0.33382943890459904,89.62,61.98776758409787,-0.04252136752136741,0.06975441073091587
688630.SH,芯碁微装,0.33214999999999995,266.43,62.65276472096403,-0.034148994018488366,0.047424316113105575
301186.SZ,超达装备,0.32573913043478275,76.23,61.87358348023168,-0.05888888888888884,0.08498011739828962
300499.SZ,高澜股份,0.32368735083532196,44.37,55.60704355885078,-0.059359762560949846,0.05179523867493332
002957.SZ,科瑞技术,0.3233372921615203,44.57,57.97933409873709,-0.13540252182347232,0.07510019203704445
301183.SZ,东田微,0.322265625,230.18,64.59221748400853,-0.05876098957268454,0.08154858925317579
301200.SZ,大族数控,0.3178643691665033,201.91,54.1258945523587,-0.03336844121026426,0.038876164191593794
002708.SZ,光洋股份,0.3172828890799655,15.32,63.65248226950355,-0.027918781725888294,0.041530190292736795
603112.SH,华翔股份,0.31632047477744796,22.18,62.77056277056276,-0.030594405594405565,0.05408117330994468
688403.SH,汇成股份,0.31523272214386444,18.65,59.77900552486188,-0.030161206448258027,0.050939928342819255
301196.SZ,唯科科技,0.3147344492663773,127.24,57.58220502901353,-0.021230769230769272,0.042626424600334244
002335.SZ,科华数据,0.3083900226757368,69.24,64.28003182179792,-0.014236902050113897,0.05384667070202134
603826.SH,坤彩科技,0.3076923076923075,34.51,51.80598555211559,-0.06981132075471708,0.08238227666186895
605060.SH,联德股份,0.3066860465116279,62.93,57.70123839009288,-0.06395954187118852,0.05465227903052383
301123.SZ,奕东电子,0.3065600581501,71.9,54.753009547530105,-0.014798574952041631,0.040327352852016454
300866.SZ,安克创新,0.3057550318600182,129.1,62.09075244112577,-0.012996941896024595,0.04202965371550777
603175.SH,超颖电子,0.3053155276250328,99.7,59.198813056379834,-0.0609400018837713,0.05492753338300429
688375.SH,国博电子,0.30464749901536026,132.5,56.512653819363834,-0.10394265232974913,0.06897765192970076
301397.SZ,溯联股份,0.3032134902958956,40.96,62.54681647940077,-0.09560609406049897,0.0701959467426612
301150.SZ,中一科技,0.30240057327122893,72.7,63.01037298609578,-0.06973768394113887,0.0838105160827231
301182.SZ,凯旺科技,0.30148731408573926,74.38,60.296296296296326,-0.04860578152980316,0.05741398837274342
